lshw	B.02.20-2.el9.x86_64
lsof	4.94.0-3.el9.x86_64
lsscsi	0.32-6.el9.x86_64
lua-libs	5.4.4-4.el9.x86_64
lvm2	2.03.32-2.el9_7.1.x86_64
lvm2-libs	2.03.32-2.el9_7.1.x86_64
lz4-libs	1.9.3-5.el9.x86_64
lzo	2.10-7.el9.x86_64
m4	1.4.19-1.el9.x86_64
make	4.3-8.el9.x86_64
man-db	2.9.3-9.el9.x86_64
man-pages	6.04-9.el9_7.noarch
man-pages-overrides	9.0.0.0-1.el9.0.1.noarch
mlocate	0.26-30.el9.x86_64
mpfr	4.1.0-7.el9.x86_64
ncurses	6.2-12.20210508.el9.x86_64
ncurses-base	6.2-12.20210508.el9.noarch
ncurses-c++-libs	6.2-12.20210508.el9.x86_64
ncurses-devel	6.2-12.20210508.el9.x86_64
ncurses-libs	6.2-12.20210508.el9.x86_64
nettle	3.10.1-1.el9.x86_64
net-tools	2.0-0.64.20160912git.el9.x86_64
NetworkManager	1.54.0-3.el9_7.x86_64
NetworkManager-libnm	1.54.0-3.el9_7.x86_64
NetworkManager-team	1.54.0-3.el9_7.x86_64
NetworkManager-tui	1.54.0-3.el9_7.x86_64
newt	0.52.21-11.el9.x86_64
nftables	1.0.9-6.el9_7.x86_64
npth	1.6-8.el9.x86_64
numactl-libs	2.0.19-3.el9.x86_64
oddjob	0.34.7-7.el9.x86_64
oddjob-mkhomedir	0.34.7-7.el9.x86_64
oniguruma	6.9.6-1.el9.6.x86_64
openldap	2.6.8-4.el9.0.1.x86_64
openssh	8.7p1-47.el9_7.rocky.0.1.x86_64
openssh-clients	8.7p1-47.el9_7.rocky.0.1.x86_64
openssh-server	8.7p1-47.el9_7.rocky.0.1.x86_64
openssl	3.5.1-7.el9_7.x86_64
openssl-devel	3.5.1-7.el9_7.x86_64
openssl-fips-provider	3.5.1-7.el9_7.x86_64
openssl-libs	3.5.1-7.el9_7.x86_64
os-prober	1.77-12.el9_5.x86_64
p11-kit	0.25.3-3.el9_5.x86_64
p11-kit-trust	0.25.3-3.el9_5.x86_64
pam	1.5.1-26.el9_6.x86_64
parted	3.5-3.el9.x86_64
passwd	0.80-12.el9.x86_64
patch	2.7.6-16.el9.x86_64
pciutils-libs	3.7.0-7.el9.x86_64
pcp-conf	6.3.7-5.el9.x86_64
pcp-libs	6.3.7-5.el9.x86_64
pcre2	10.40-6.el9.x86_64
pcre2-syntax	10.40-6.el9.noarch
pcre	8.44-4.el9.x86_64
perl-AutoLoader	5.74-481.1.el9_6.noarch
perl-B	1.80-481.1.el9_6.x86_64
perl-base	2.27-481.1.el9_6.noarch
perl-Carp	1.50-460.el9.0.1.noarch
perl-Class-Struct	0.66-481.1.el9_6.noarch
perl-constant	1.33-461.el9.0.1.noarch
perl-Data-Dumper	2.174-462.el9.x86_64
perl-Digest	1.19-4.el9.0.1.noarch
perl-Digest-MD5	2.58-4.el9.x86_64
perl-DynaLoader	1.47-481.1.el9_6.x86_64
perl-Encode	3.08-462.el9.x86_64
perl-Errno	1.30-481.1.el9_6.x86_64
perl-Exporter	5.74-461.el9.noarch
perl-Fcntl	1.13-481.1.el9_6.x86_64
perl-File-Basename	2.85-481.1.el9_6.noarch
perl-File-Compare	1.100.600-481.1.el9_6.noarch
perl-File-Copy	2.34-481.1.el9_6.noarch
perl-File-Find	1.37-481.1.el9_6.noarch
perl-FileHandle	2.03-481.1.el9_6.noarch
perl-File-Path	2.18-4.el9.noarch
perl-File-stat	1.09-481.1.el9_6.noarch
perl-File-Temp	0.231.100-4.el9.noarch
perl-Getopt-Long	2.52-4.el9.noarch
perl-Getopt-Std	1.12-481.1.el9_6.noarch
perl-HTTP-Tiny	0.076-462.el9.noarch
perl-if	0.60.800-481.1.el9_6.noarch
perl-interpreter	5.32.1-481.1.el9_6.x86_64
perl-IO	1.43-481.1.el9_6.x86_64
perl-IO-Socket-IP	0.41-5.el9.noarch
perl-IO-Socket-SSL	2.073-2.el9.noarch
perl-IPC-Open3	1.21-481.1.el9_6.noarch
perl-libnet	3.13-4.el9.noarch
perl-libs	5.32.1-481.1.el9_6.x86_64
perl-MIME-Base64	3.16-4.el9.x86_64
perl-Mozilla-CA	20200520-6.el9.noarch
perl-mro	1.23-481.1.el9_6.x86_64
perl-NDBM_File	1.15-481.1.el9_6.x86_64
perl-Net-SSLeay	1.94-3.el9.x86_64
perl-overload	1.31-481.1.el9_6.noarch
perl-overloading	0.02-481.1.el9_6.noarch
perl-parent	0.238-460.el9.noarch
perl-PathTools	3.78-461.el9.x86_64
perl-Pod-Escapes	1.07-460.el9.0.1.noarch
perl-podlators	4.14-460.el9.0.1.noarch
perl-Pod-Perldoc	3.28.01-461.el9.noarch
perl-Pod-Simple	3.42-4.el9.noarch
perl-Pod-Usage	2.01-4.el9.noarch
perl-POSIX	1.94-481.1.el9_6.x86_64
perl-Scalar-List-Utils	1.56-462.el9.x86_64
perl-SelectSaver	1.02-481.1.el9_6.noarch
perl-Socket	2.031-4.el9.x86_64
perl-Storable	3.21-460.el9.x86_64
